tipo,x,y
simuladas,32,11.83673469387755
simuladas,48,17.551020408163264
simuladas,190,123.21428571428571
simuladas,125,49.1875
simuladas,120,79.63775510204081
simuladas,88,58.13265306122448
simuladas,101,182.38137755102042
simuladas,62,25.178571428571427
simuladas,168,186.26530612244898
simuladas,113,98.95408163265306
simuladas,115,41.46301020408163
simuladas,4,0.6020408163265306
simuladas,247,1383.7385204081634
simuladas,144,68.07142857142857
simuladas,214,353.8724489795918
simuladas,25,12.551020408163266
simuladas,32,15.489795918367346
simuladas,235,1270.4438775510205
simuladas,48,16.19387755102041
simuladas,124,71.02551020408164
simuladas,12,1.1670918367346936
simuladas,126,77.45280612244899
simuladas,143,77.6670918367347
simuladas,103,40.98979591836735
simuladas,3,0.5153061224489796
simuladas,6,0.5038265306122449
simuladas,98,149.61607142857142
simuladas,67,22.095663265306122
simuladas,190,198.87244897959184
simuladas,203,329.452806122449
simuladas,141,223.10586734693877
simuladas,119,121.88265306122447
simuladas,157,272.17729591836735
simuladas,63,25.96301020408163
simuladas,26,5.9528061224489806
simuladas,141,210.78571428571428
simuladas,38,26.177295918367346
simuladas,156,93.73979591836735
simuladas,207,1033.173469387755
simuladas,93,38.47959183673469
simuladas,22,3.6670918367346936
simuladas,1,0.0663265306122449
simuladas,220,215.84693877551018
simuladas,217,204.03571428571428
simuladas,147,207.78061224489798
simuladas,145,99.82015306122449
simuladas,3,0.9642857142857143
simuladas,2,0.12244897959183676
simuladas,129,97.12244897959184
simuladas,126,80.75
simuladas,112,66.03061224489797
simuladas,2,0.09566326530612246
simuladas,36,11.52423469387755
simuladas,239,554.9897959183673
simuladas,116,61.95918367346939
simuladas,165,121.1670918367347
simuladas,51,12.357142857142858
simuladas,231,127.41836734693878
simuladas,60,39.67857142857143
simuladas,87,95.98979591836736
simuladas,188,159.15816326530611
simuladas,61,24.309948979591837
simuladas,122,108.24489795918369
simuladas,38,42.56122448979591
simuladas,71,38.6875
simuladas,132,297.63265306122446
simuladas,175,261.0752551020408
simuladas,104,39.87244897959183
simuladas,174,185.86096938775512
simuladas,143,168.99489795918367
simuladas,223,725.015306122449
simuladas,183,107.3609693877551
simuladas,248,1363.6020408163265
simuladas,18,3.218112244897959
simuladas,125,111.74489795918369
simuladas,22,12.248724489795919
simuladas,241,230.83035714285714
simuladas,65,13.26530612244898
simuladas,217,234.02423469387756
simuladas,65,22.602040816326532
simuladas,212,2131.3201530612246
simuladas,209,1129.0663265306123
simuladas,119,63.30102040816327
simuladas,171,131.12244897959184
