tipo,x,y
simuladas,152,25.271428571428572
simuladas,2,1.4142857142857144
simuladas,141,21.5
simuladas,49,6.3428571428571425
simuladas,66,17.15714285714286
simuladas,85,7.328571428571428
simuladas,17,2.7
simuladas,183,26.15714285714286
simuladas,27,4.042857142857143
simuladas,245,15.685714285714285
simuladas,80,8.685714285714285
simuladas,129,29.314285714285713
simuladas,221,12.242857142857142
simuladas,43,13.528571428571428
simuladas,146,27.071428571428573
simuladas,186,42.614285714285714
simuladas,173,10.7
simuladas,4,2.2142857142857144
simuladas,69,21.5
simuladas,38,5.457142857142857
simuladas,246,18.314285714285713
simuladas,19,2.9571428571428573
simuladas,63,4.9714285714285715
simuladas,18,3.7142857142857144
simuladas,150,10.471428571428572
simuladas,53,5.328571428571428
simuladas,112,11.9
simuladas,10,2.657142857142857
simuladas,22,7.885714285714286
simuladas,236,24.942857142857143
simuladas,205,11.771428571428572
simuladas,152,9.028571428571428
simuladas,226,37.0
simuladas,6,1.957142857142857
simuladas,230,12.5
simuladas,194,13.914285714285715
simuladas,64,6.071428571428571
simuladas,4,1.5571428571428572
simuladas,12,3.4285714285714284
simuladas,154,26.557142857142857
simuladas,166,36.08571428571429
simuladas,209,11.2
simuladas,86,18.2
simuladas,185,13.857142857142858
simuladas,84,8.214285714285714
simuladas,1,1.3571428571428572
simuladas,18,3.3857142857142857
simuladas,131,9.82857142857143
simuladas,24,4.385714285714286
simuladas,244,12.871428571428572
simuladas,207,27.857142857142858
simuladas,10,2.2857142857142856
simuladas,169,18.314285714285713
simuladas,41,8.67142857142857
simuladas,209,12.257142857142858
simuladas,2,1.542857142857143
simuladas,1,1.4142857142857144
simuladas,11,3.157142857142857
simuladas,25,7.785714285714286
simuladas,212,10.785714285714286
simuladas,81,20.8
simuladas,64,13.3
simuladas,41,9.742857142857142
simuladas,187,42.17142857142857
simuladas,160,32.91428571428571
simuladas,6,2.057142857142857
simuladas,3,1.542857142857143
simuladas,166,13.585714285714285
simuladas,1,1.5
simuladas,78,7.114285714285714
simuladas,68,20.414285714285715
simuladas,3,1.6142857142857143
simuladas,224,12.571428571428571
simuladas,75,5.571428571428571
simuladas,69,12.9
simuladas,53,15.742857142857142
simuladas,5,2.3857142857142857
simuladas,9,3.7714285714285714
simuladas,177,18.857142857142858
simuladas,187,11.642857142857142
simuladas,1,1.2142857142857142
simuladas,59,9.6
simuladas,226,11.585714285714285
simuladas,247,14.371428571428572
simuladas,39,7.4
simuladas,188,43.98571428571429
simuladas,10,2.6714285714285713
simuladas,96,7.271428571428571
simuladas,15,3.6142857142857143
simuladas,209,11.2
simuladas,5,2.7714285714285714
simuladas,13,6.985714285714286
simuladas,6,3.1714285714285713
simuladas,3,1.5714285714285714
simuladas,36,4.957142857142857
simuladas,1,1.3571428571428572
simuladas,127,7.1571428571428575
simuladas,198,12.971428571428572
simuladas,199,9.942857142857143
simuladas,37,10.785714285714286
simuladas,7,2.3285714285714287
simuladas,20,6.714285714285714
simuladas,237,14.057142857142857
simuladas,90,10.142857142857142
simuladas,58,8.571428571428571
simuladas,12,3.585714285714286
simuladas,121,10.385714285714286
simuladas,142,7.114285714285714
simuladas,155,10.0
simuladas,2,1.4142857142857144
simuladas,38,4.228571428571429
simuladas,6,2.6142857142857143
simuladas,3,2.2142857142857144
simuladas,75,16.057142857142857
simuladas,53,7.285714285714286
simuladas,20,2.7142857142857144
simuladas,190,11.928571428571429
simuladas,80,14.742857142857142
simuladas,102,18.47142857142857
simuladas,111,16.214285714285715
simuladas,157,10.271428571428572
simuladas,39,5.0285714285714285
simuladas,3,1.8571428571428572
simuladas,239,43.92857142857143
simuladas,183,48.24285714285714
simuladas,15,4.685714285714286
simuladas,15,2.914285714285714
simuladas,179,10.0
simuladas,166,36.08571428571429
simuladas,146,14.842857142857143
simuladas,166,29.785714285714285
simuladas,175,48.07142857142857
simuladas,28,4.557142857142857
simuladas,96,6.785714285714286
simuladas,168,10.314285714285715
simuladas,166,36.65714285714286
simuladas,124,12.342857142857143
simuladas,3,1.6142857142857143
simuladas,38,5.457142857142857
simuladas,203,11.228571428571428
simuladas,66,16.557142857142857
simuladas,19,3.3285714285714287
simuladas,103,17.742857142857144
simuladas,16,2.9285714285714284
simuladas,4,1.957142857142857
simuladas,11,4.128571428571429
simuladas,18,2.8714285714285714
simuladas,31,5.014285714285714
simuladas,10,2.9714285714285715
simuladas,151,9.942857142857143
simuladas,5,2.7714285714285714
simuladas,42,4.3
simuladas,211,11.628571428571428
simuladas,165,43.785714285714285
simuladas,4,2.142857142857143
simuladas,233,12.642857142857142
simuladas,10,2.2857142857142856
simuladas,174,10.414285714285715
simuladas,111,7.214285714285714
simuladas,165,29.1
simuladas,169,17.557142857142857
simuladas,133,8.914285714285715
simuladas,11,2.2857142857142856
simuladas,17,3.7
simuladas,31,6.271428571428571
simuladas,18,3.7142857142857144
simuladas,236,30.2
simuladas,201,22.47142857142857
simuladas,29,7.871428571428571
simuladas,5,1.8142857142857143
simuladas,2,1.6714285714285715
simuladas,66,11.914285714285715
simuladas,155,25.014285714285716
simuladas,76,11.842857142857143
